Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
USDCHF,20180401,22:00,0.95404,0.95486,0.95353,0.95434,1417370000
USDCHF,20180401,23:00,0.95434,0.95468,0.9543,0.95459,1303930000
USDCHF,20180420,0:00,0.9716,0.97172,0.97111,0.97119,2359480000
USDCHF,20180420,10:00,0.9712,0.97216,0.97113,0.97183,2038940000
USDCHF,20180420,20:00,0.97185,0.97213,0.97153,0.97213,1138720000
USDCHF,20180420,3:00,0.97215,0.97225,0.97193,0.97201,1279850000
USDCHF,20180420,4:00,0.97201,0.97222,0.97184,0.97197,793950000
USDCHF,20180420,5:00,0.97196,0.97279,0.97194,0.97201,1828240000
USDCHF,20180420,6:00,0.97203,0.97251,0.97156,0.97184,4788590000
USDCHF,20180420,7:00,0.97185,0.97227,0.97072,0.97165,6664180000
USDCHF,20180420,8:00,0.97167,0.97292,0.97131,0.97282,4776140000
USDCHF,20180420,9:00,0.97281,0.97411,0.97272,0.97369,4875860000
USDCHF,20180420,10:00,0.97368,0.97443,0.97362,0.97415,5111510000
USDCHF,20180420,11:00,0.97417,0.97458,0.97229,0.97243,5627940000
USDCHF,20180420,12:00,0.97241,0.97391,0.97213,0.97372,5481880000
USDCHF,20180420,13:00,0.97372,0.97536,0.97338,0.97514,6704720000
USDCHF,20180420,14:00,0.97512,0.97593,0.97398,0.97406,8293360000
USDCHF,20180420,15:00,0.97407,0.97444,0.97339,0.97434,7378310000
USDCHF,20180420,16:00,0.97434,0.97507,0.97387,0.97455,4880060000
USDCHF,20180420,17:00,0.97454,0.97506,0.97428,0.97455,2577530000
USDCHF,20180420,18:00,0.97454,0.97491,0.97426,0.97486,1377400000
USDCHF,20180420,19:00,0.97483,0.97537,0.97455,0.97537,2420780000
USDCHF,20180420,20:00,0.97537,0.97537,0.97449,0.97467,1922420000
NZDUSD,20180401,21:00,0.72263,0.72352,0.72263,0.72352,125960000
NZDUSD,20180401,22:00,0.72351,0.72384,0.7232,0.72348,726990000
NZDUSD,20180401,23:00,0.72348,0.72367,0.72305,0.72336,1825580000
AUDUSD,20180430,0:00,0.75728,0.75812,0.75712,0.75759,2492130000
EURUSD,20180430,0:00,1.21226,1.21318,1.21217,1.21284,4257640000
GBPUSD,20180430,0:00,1.37688,1.37778,1.37676,1.37735,1985540000
NZDUSD,20180430,0:00,0.70812,0.7089,0.70781,0.70868,1316400000
USDCHF,20180430,0:00,0.98811,0.98812,0.98749,0.98776,1438260000
USDJPY,20180430,0:00,109.093,109.105,109.02,109.074,2891000001
EURUSD,20180430,1:00,1.21285,1.21341,1.21212,1.21337,5354560000
EURUSD,20180430,2:00,1.21336,1.21339,1.21247,1.21274,5885630000
AUDUSD,20180430,3:00,0.75609,0.75657,0.75585,0.75633,2685850000
EURUSD,20180430,3:00,1.21273,1.21305,1.2124,1.21248,4839090001
GBPUSD,20180430,3:00,1.37765,1.37819,1.37749,1.37789,2286850000
NZDUSD,20180430,3:00,0.70633,0.70732,0.70633,0.70724,1676330000
USDCHF,20180430,3:00,0.98823,0.98845,0.98801,0.98829,1297880000
USDJPY,20180430,3:00,109.121,109.151,109.101,109.134,1477000000
AUDUSD,20180430,4:00,0.75635,0.75687,0.75628,0.75666,1502710000
EURUSD,20180430,4:00,1.21248,1.21296,1.21239,1.2129,4393490000
GBPUSD,20180430,4:00,1.37792,1.37857,1.3779,1.37835,1926160000
NZDUSD,20180430,4:00,0.70725,0.70802,0.70725,0.70793,1435950000
USDCHF,20180430,4:00,0.98829,0.98834,0.98772,0.98774,984270000
