<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20180418,9:00,107.281,107.323,107.245,107.273,4258700000
USDJPY,20180418,10:00,107.27,107.275,107.204,107.227,2868320000
USDJPY,20180418,11:00,107.226,107.239,107.165,107.233,3740990000
USDJPY,20180418,12:00,107.233,107.247,107.199,107.226,4335010000
USDJPY,20180418,13:00,107.224,107.241,107.145,107.185,6702819999
USDJPY,20180418,14:00,107.185,107.241,107.097,107.236,7945770001
USDJPY,20180418,15:00,107.238,107.299,107.223,107.269,6890020000
USDJPY,20180418,16:00,107.269,107.306,107.151,107.165,5200690000
USDJPY,20180418,17:00,107.164,107.273,107.159,107.219,4985980000
USDJPY,20180418,18:00,107.219,107.274,107.18,107.263,4718400000
USDJPY,20180418,19:00,107.264,107.315,107.206,107.221,4424900000
USDJPY,20180418,20:00,107.22,107.25,107.207,107.23,2650770000
USDJPY,20180418,21:00,107.23,107.241,107.188,107.205,5305640000
USDJPY,20180418,22:00,107.205,107.247,107.181,107.213,1972270001
USDJPY,20180418,23:00,107.214,107.36,107.211,107.355,2679190000
USDJPY,20180419,0:0,107.357,107.467,107.33,107.434,5739300000
USDJPY,20180419,10:00,107.434,107.515,107.417,107.478,5925449999
USDJPY,20180419,20:00,107.478,107.484,107.41,107.42,3304580001
USDJPY,20180419,3:00,107.421,107.444,107.372,107.413,4124010000
USDJPY,20180419,4:00,107.413,107.431,107.358,107.431,3191459999
USDJPY,20180419,5:00,107.431,107.448,107.373,107.422,3239620000
USDJPY,20180419,6:00,107.422,107.47,107.364,107.373,5810130000
USDJPY,20180419,7:00,107.373,107.385,107.269,107.288,5550830001
USDJPY,20180419,8:00,107.288,107.405,107.262,107.36,5784380000
USDJPY,20180419,9:00,107.361,107.431,107.353,107.372,4984740000
USDJPY,20180419,10:00,107.372,107.456,107.358,107.413,4192180000
USDJPY,20180419,11:00,107.414,107.44,107.356,107.358,3774570001
USDJPY,20180419,12:00,107.358,107.396,107.313,107.348,6029250000
USDJPY,20180419,13:00,107.349,107.421,107.326,107.385,7220840000
USDJPY,20180419,14:00,107.385,107.4,107.33,107.362,7733910000
USDJPY,20180419,15:00,107.361,107.469,107.348,107.428,8992470000
USDJPY,20180419,16:00,107.428,107.446,107.26,107.275,5965260000
USDJPY,20180419,17:00,107.274,107.329,107.239,107.319,6576979999
USDJPY,20180419,18:00,107.319,107.421,107.318,107.398,6313720000
USDJPY,20180419,19:00,107.401,107.505,107.315,107.352,6549450000
USDJPY,20180419,20:00,107.352,107.375,107.349,107.363,2139560001
USDJPY,20180419,21:00,107.361,107.415,107.352,107.391,7360030000
USDJPY,20180419,22:00,107.39,107.442,107.385,107.423,4679000000
USDJPY,20180419,23:00,107.422,107.46,107.377,107.444,1655350000
USDJPY,20180420,0:0,107.443,107.561,107.394,107.463,7233860016
USDJPY,20180420,10:00,107.462,107.732,107.413,107.718,7222070000
USDJPY,20180420,20:00,107.721,107.728,107.615,107.656,4820230000
